JournalCode;JournalLib;EcritureNum;EcritureDate;CompteNum;CompteLib;CompAuxNum;CompAuxLib;PieceRef;PieceDate;EcritureLib;ValidDate;MontantDebit;MontantCredit;Sens;RefEcriture;EcritureLet;DateLet
AN;A Nouveau;AN/1;20220701;10130000;CompteLib_0001;;;22G18;20220701;EcritureLib_0001;20231008;0,00;4000,00;C;AN/1;;
AN;A Nouveau;AN/1;20220701;10611000;CompteLib_0002;;;22G18;20220701;EcritureLib_0002;20231008;0,00;600,00;C;AN/1;;
AN;A Nouveau;AN/1;20220701;10680000;CompteLib_0003;;;22G18;20220701;EcritureLib_0003;20231008;0,00;29228,67;C;AN/1;;
AN;A Nouveau;AN/1;20220701;16400000;CompteLib_0004;;;22G18;20220701;EcritureLib_0004;20231008;0,00;36214,44;C;AN/1;;
AN;A Nouveau;AN/1;20220701;20600000;CompteLib_0005;;;22G18;20220701;EcritureLib_0005;20231008;20000,00;0,00;D;AN/1;;
AN;A Nouveau;AN/1;20220701;21540000;CompteLib_0006;;;22G18;20220701;EcritureLib_0006;20231008;13920,71;0,00;D;AN/1;;
AN;A Nouveau;AN/1;20220701;21810000;CompteLib_0007;;;22G18;20220701;EcritureLib_0007;20231008;5307,08;0,00;D;AN/1;;
AN;A Nouveau;AN/1;20220701;21830000;CompteLib_0008;;;22G18;20220701;EcritureLib_0008;20231008;508,00;0,00;D;AN/1;;
AN;A Nouveau;AN/1;20220701;21840000;CompteLib_0009;;;22G18;20220701;EcritureLib_0009;20231008;1254,42;0,00;D;AN/1;;
AN;A Nouveau;AN/1;20220701;27500000;CompteLib_0010;;;22G18;20220701;EcritureLib_0010;20231008;5100,00;0,00;D;AN/1;;
AN;A Nouveau;AN/1;20220701;28154000;CompteLib_0011;;;22G18;20220701;EcritureLib_0011;20231008;0,00;6991,57;C;AN/1;;
AN;A Nouveau;AN/1;20220701;28181000;CompteLib_0012;;;22G18;20220701;EcritureLib_0012;20231008;0,00;2058,63;C;AN/1;;
