JournalCode;JournalLib;EcritureNum;EcritureDate;CompteNum;CompteLib;CompAuxNum;CompAuxLib;PieceRef;PieceDate;EcritureLib;ValidDate;MontantDebit;MontantCredit;Sens;RefEcriture;EcritureLet;DateLet
OD;OPERATIONS DIVERSES;080010001;20230831;63511000;CompteLib_0001;;;3;20230831;EcritureLib_0001;;514,00;0,00;D;080010001;;
OD;OPERATIONS DIVERSES;080010001;20230831;44860000;CompteLib_0002;;;3;20230831;EcritureLib_0001;;0,00;514,00;C;080010001;;
OD;OPERATIONS DIVERSES;080010002;20230831;69500000;CompteLib_0003;;;5;20230831;EcritureLib_0002;;200526,00;0,00;D;080010002;;
OD;OPERATIONS DIVERSES;080010002;20230831;44400000;CompteLib_0004;;;5;20230831;EcritureLib_0002;;0,00;200526,00;C;080010002;;
RB;REPRISE BALANCE;080010001;20230831;10130000;CompteLib_0005;;;1;20230831;EcritureLib_0003;;0,00;300000,00;C;080010001;;
RB;REPRISE BALANCE;080010001;20230831;10611000;CompteLib_0006;;;1;20230831;EcritureLib_0003;;0,00;30000,00;C;080010001;;
RB;REPRISE BALANCE;080010001;20230831;10680000;CompteLib_0007;;;1;20230831;EcritureLib_0003;;0,00;14461,13;C;080010001;;
RB;REPRISE BALANCE;080010001;20230831;15110000;CompteLib_0008;;;1;20230831;EcritureLib_0003;;0,00;57160,00;C;080010001;;
RB;REPRISE BALANCE;080010001;20230831;20500000;CompteLib_0009;;;1;20230831;EcritureLib_0003;;6011,00;0,00;D;080010001;;
RB;REPRISE BALANCE;080010001;20230831;20700000;CompteLib_0010;;;1;20230831;EcritureLib_0003;;22867,35;0,00;D;080010001;;
RB;REPRISE BALANCE;080010001;20230831;21540000;CompteLib_0011;;;1;20230831;EcritureLib_0003;;980550,99;0,00;D;080010001;;
RB;REPRISE BALANCE;080010001;20230831;21810000;CompteLib_0012;;;1;20230831;EcritureLib_0003;;218386,93;0,00;D;080010001;;
RB;REPRISE BALANCE;080010001;20230831;21820000;CompteLib_0013;;;1;20230831;EcritureLib_0003;;419704,34;0,00;D;080010001;;
RB;REPRISE BALANCE;080010001;20230831;21830000;CompteLib_0014;;;1;20230831;EcritureLib_0003;;32652,55;0,00;D;080010001;;
RB;REPRISE BALANCE;080010001;20230831;21840000;CompteLib_0015;;;1;20230831;EcritureLib_0003;;22668,02;0,00;D;080010001;;
RB;REPRISE BALANCE;080010001;20230831;27100001;CompteLib_0016;;;1;20230831;EcritureLib_0003;;10411,51;0,00;D;080010001;;
RB;REPRISE BALANCE;080010001;20230831;27500001;CompteLib_0017;;;1;20230831;EcritureLib_0003;;2590,54;0,00;D;080010001;;
RB;REPRISE BALANCE;080010001;20230831;28050000;CompteLib_0018;;;1;20230831;EcritureLib_0003;;0,00;6011,00;C;080010001;;
RB;REPRISE BALANCE;080010001;20230831;28154000;CompteLib_0019;;;1;20230831;EcritureLib_0003;;0,00;864720,21;C;080010001;;
RB;REPRISE BALANCE;080010001;20230831;28181000;CompteLib_0020;;;1;20230831;EcritureLib_0003;;0,00;218386,93;C;080010001;;
RB;REPRISE BALANCE;080010001;20230831;28182000;CompteLib_0021;;;1;20230831;EcritureLib_0003;;0,00;336155,33;C;080010001;;
RB;REPRISE BALANCE;080010001;20230831;28183000;CompteLib_0022;;;1;20230831;EcritureLib_0003;;0,00;30384,83;C;080010001;;
RB;REPRISE BALANCE;080010001;20230831;28184000;CompteLib_0023;;;1;20230831;EcritureLib_0003;;0,00;22668,02;C;080010001;;
RB;REPRISE BALANCE;080010001;20230831;47100000;CompteLib_0024;;;1;20230831;EcritureLib_0003;;164104,22;0,00;D;080010001;;
RB;REPRISE BALANCE;080010002;20230831;32000000;CompteLib_0025;;;2;20230831;EcritureLib_0003;;69088,71;0,00;D;080010002;;
RB;REPRISE BALANCE;080010002;20230831;31000000;CompteLib_0026;;;2;20230831;EcritureLib_0003;;216744,59;0,00;D;080010002;;
RB;REPRISE BALANCE;080010002;20230831;40100000;CompteLib_0027;40100000;FOURNISSEURS ;2;20230831;EcritureLib_0003;;0,00;428017,40;C;080010002;;
RB;REPRISE BALANCE;080010002;20230831;40810000;CompteLib_0028;;;2;20230831;EcritureLib_0003;;0,00;1344,37;C;080010002;;
RB;REPRISE BALANCE;080010002;20230831;40810000;CompteLib_0028;;;2;20230831;EcritureLib_0003;;0,00;8058,00;C;080010002;;
RB;REPRISE BALANCE;080010002;20230831;40810000;CompteLib_0028;;;2;20230831;EcritureLib_0003;;0,00;1194,22;C;080010002;;
RB;REPRISE BALANCE;080010002;20230831;40810000;CompteLib_0028;;;2;20230831;EcritureLib_0003;;0,00;3846,00;C;080010002;;
RB;REPRISE BALANCE;080010002;20230831;41100000;CompteLib_0029;41100000;CLIENTS ;2;20230831;EcritureLib_0003;;689285,92;0,00;D;080010002;;
RB;REPRISE BALANCE;080010002;20230831;41600000;CompteLib_0030;;;2;20230831;EcritureLib_0003;;13377,38;0,00;D;080010002;;
RB;REPRISE BALANCE;080010002;20230831;42500000;CompteLib_0031;;;2;20230831;EcritureLib_0003;;104,83;0,00;D;080010002;;
RB;REPRISE BALANCE;080010002;20230831;42700000;CompteLib_0032;;;2;20230831;EcritureLib_0003;;0,00;534,00;C;080010002;;
RB;REPRISE BALANCE;080010002;20230831;42700000;CompteLib_0032;;;2;20230831;EcritureLib_0003;;0,00;59,00;C;080010002;;
RB;REPRISE BALANCE;080010002;20230831;42700000;CompteLib_0032;;;2;20230831;EcritureLib_0003;;0,00;128,00;C;080010002;;
RB;REPRISE BALANCE;080010002;20230831;42700000;CompteLib_0032;;;2;20230831;EcritureLib_0003;;0,00;1375,05;C;080010002;;
RB;REPRISE BALANCE;080010002;20230831;42820000;CompteLib_0033;;;2;20230831;EcritureLib_0003;;0,00;60984,00;C;080010002;;
